Country,year,broad_money,decade,annual change,world_money,gap_world,gap_world_pct
WLD,2009,111.0087715,2000,11.006258099999997,111.0087715,0.0,0.0
WLD,2010,107.9480905,2010,-3.060680999999988,107.9480905,0.0,0.0
WLD,2011,109.1949223,2010,1.2468317999999954,109.1949223,0.0,0.0
WLD,2012,111.5060523,2010,2.3111299999999915,111.5060523,0.0,0.0
WLD,2013,112.095354,2010,0.5893017000000071,112.095354,0.0,0.0
WLD,2014,114.5310446,2010,2.435690600000001,114.5310446,0.0,0.0
WLD,2015,117.7380764,2010,3.2070317999999958,117.7380764,0.0,0.0
WLD,2016,121.6668651,2010,3.9287886999999984,121.6668651,0.0,0.0
WLD,2017,119.9613444,2010,-1.705520699999994,119.9613444,0.0,0.0
WLD,2018,120.2048697,2010,0.24352530000000172,120.2048697,0.0,0.0
WLD,2019,122.2835326,2010,2.0786628999999976,122.2835326,0.0,0.0
WLD,2020,140.0833201,2020,17.799787500000008,140.0833201,0.0,0.0
WLD,2021,139.9156172,2020,-0.16770289999999477,139.9156172,0.0,0.0
WLD,2022,136.9038372,2020,-3.011780000000016,136.9038372,0.0,0.0
WLD,2023,135.5653641,2020,-1.3384730999999874,135.5653641,0.0,0.0
WLD,2024,136.1055622,2020,0.5401980999999978,136.1055622,0.0,0.0
WLD,2025,136.1055622,2020,0.0,136.1055622,0.0,0.0
